age,gender,region,customer_type,plan_type,plan_tier,monthly_fee_€,contract_length_months,auto_renewal,subscription_status,avg_monthly_data_gb,avg_monthly_voice_minutes,sms_per_month,roaming_last_3m,loyalty_member,app_logins_per_month,dropped_calls_last_month,avg_download_speed_mbps,coverage_complaints_6m,csat_score,payment_method,on_time_payments,late_payments_6m,outstanding_balance_€,discount_last_renewal,downgraded_last_6m,last_offer_accepted,campaign_ctr,support_tickets_6m,avg_resolution_time_hrs,email_open_rate,nps_score,tenure_days
54,Female,Cork,Individual,Postpay,Essentials,31,0,Yes,Active,88.6,2143,30,No,Yes,0,12,153.7,4,3,Direct Debit,Yes,0,261.13,No,Yes,No,0.22,1,10.4,0.7,44,230
52,Male,Dublin,Individual,Prepay,Freedom,97,12,No,Active,31.6,1285,5,Yes,Yes,19,6,164.3,4,5,Debit Card,Yes,5,463.63,No,Yes,Yes,0.33,4,13.4,0.84,-96,360
61,Female,Dublin,Individual,Prepay,Freedom,62,0,Yes,Cancelled,15.1,353,482,No,Yes,7,19,252.7,4,3,Credit Card,Yes,2,32.37,Yes,No,No,0.36,4,57.8,0.27,90,119
57,Male,Cork,Individual,Postpay,Essentials,45,12,Yes,Active,15.7,1159,206,Yes,Yes,16,3,51.9,3,4,Direct Debit,Yes,4,56.61,No,No,Yes,0.57,3,35.0,0.19,12,360
39,Female,Galway,Individual,SIM-only,Freedom,77,1,Yes,Active,32.7,1885,156,No,No,20,10,95.5,4,1,Direct Debit,Yes,2,298.39,Yes,No,Yes,0.11,3,11.3,0.08,36,30
44,Male,Other,Family,Prepay,Essentials,45,12,Yes,Cancelled,63.3,1818,66,Yes,Yes,27,7,266.7,2,3,Debit Card,Yes,1,177.03,No,No,Yes,0.38,3,49.8,0.53,35,360
52,Male,Other,Individual,Postpay,Unlimited,61,0,Yes,Cancelled,81.4,966,458,No,Yes,19,5,168.6,0,2,Debit Card,Yes,3,232.11,No,No,No,0.18,2,67.8,0.83,-94,244
18,Female,Galway,Individual,Postpay,Freedom,62,0,Yes,Active,90.4,2970,386,Yes,No,21,9,175.4,3,2,Direct Debit,Yes,3,164.04,No,Yes,No,0.26,1,41.6,0.25,-64,144
52,Male,Dublin,Individual,SIM-only,Unlimited,91,1,Yes,Active,64.3,2520,411,No,No,6,6,143.9,0,4,Credit Card,Yes,5,202.36,No,No,No,0.47,2,8.0,0.46,-46,30
54,Male,Galway,Individual,Postpay,Essentials,59,24,Yes,Active,5.5,2477,329,Yes,No,8,6,165.1,2,5,Direct Debit,Yes,2,411.32,Yes,No,Yes,0.16,0,4.9,0.16,-34,720
64,Female,Cork,Individual,Postpay,Freedom,89,1,No,Active,22.7,2584,369,No,Yes,16,3,60.2,1,1,Direct Debit,Yes,2,296.74,No,No,No,0.22,4,57.5,0.4,35,30
31,Female,Dublin,Individual,Postpay,Essentials,50,1,Yes,Active,14.5,1169,352,No,No,26,2,164.5,1,3,Direct Debit,Yes,2,498.67,No,No,No,0.44,4,45.5,0.02,-32,30
20,Female,Other,Individual,Postpay,Essentials,27,12,No,Active,39.5,1547,431,Yes,Yes,9,6,299.2,1,5,Credit Card,No,2,393.44,No,No,Yes,0.19,4,66.5,0.91,-96,360
18,Female,Dublin,Individual,Prepay,Essentials,31,12,Yes,Active,52.6,2134,335,Yes,No,3,3,170.2,3,5,Direct Debit,Yes,1,136.83,Yes,No,Yes,0.38,3,39.9,0.68,-84,360
22,Female,Other,Family,Prepay,Essentials,75,1,Yes,Active,9.1,108,378,No,Yes,21,12,14.3,1,3,Credit Card,Yes,4,132.17,No,No,Yes,0.1,4,5.4,0.33,10,30
43,Male,Cork,Business,Prepay,Freedom,30,1,Yes,Active,38.1,1368,393,No,No,25,19,239.1,3,3,Debit Card,Yes,1,167.95,No,No,No,0.23,3,29.7,0.88,-43,30
31,Male,Galway,Family,Postpay,Essentials,53,1,Yes,Cancelled,22.0,1757,288,Yes,Yes,6,16,119.5,3,3,Direct Debit,Yes,1,421.63,Yes,No,No,0.41,0,47.7,0.18,90,30
56,Male,Galway,Family,Postpay,Freedom,56,24,No,Active,66.5,993,483,Yes,Yes,6,6,46.9,0,3,Credit Card,Yes,1,13.64,Yes,No,No,0.71,2,28.3,0.08,54,720
44,Female,Other,Individual,Prepay,Freedom,48,0,Yes,Cancelled,49.1,1517,450,Yes,Yes,7,16,258.9,1,2,Credit Card,Yes,3,115.09,Yes,No,Yes,0.42,2,72.0,0.94,3,348
26,Female,Galway,Business,Postpay,Unlimited,38,1,Yes,Cancelled,52.1,1356,452,Yes,Yes,29,3,60.2,4,5,Direct Debit,Yes,1,452.46,No,No,No,0.66,2,29.8,0.31,12,30
32,Male,Galway,Individual,Postpay,Unlimited,63,0,No,Active,45.6,821,139,No,Yes,25,10,276.3,1,5,Direct Debit,Yes,2,319.95,No,No,No,0.08,3,39.8,0.94,-9,121
32,Male,Dublin,Business,Prepay,Freedom,99,1,Yes,Active,95.8,936,440,No,No,23,2,133.1,1,2,Direct Debit,Yes,1,113.42,No,No,Yes,0.12,1,17.0,0.64,-33,30
43,Female,Cork,Business,SIM-only,Freedom,94,12,Yes,Active,25.4,2696,299,No,Yes,23,10,223.1,1,5,Credit Card,Yes,2,109.57,Yes,No,No,0.21,1,11.8,0.98,-73,360
59,Male,Dublin,Family,Prepay,Essentials,26,1,Yes,Active,54.1,190,12,No,No,7,2,164.6,4,3,Debit Card,Yes,5,431.31,No,No,No,0.37,0,46.8,0.75,-12,30
30,Female,Galway,Business,Prepay,Unlimited,89,0,No,Active,74.9,1996,151,No,Yes,15,11,77.7,4,1,Credit Card,Yes,4,446.88,No,No,Yes,0.43,1,42.8,0.11,85,355
68,Female,Cork,Individual,Postpay,Essentials,69,1,Yes,Active,57.9,932,427,No,Yes,11,0,201.7,3,5,Debit Card,Yes,3,128.07,Yes,No,No,0.15,0,1.3,0.85,77,30
49,Female,Galway,Individual,Postpay,Essentials,40,0,Yes,Cancelled,93.3,141,312,No,No,14,3,287.4,4,1,Credit Card,Yes,4,210.26,Yes,No,No,0.18,4,21.2,0.15,5,215
56,Male,Dublin,Individual,Prepay,Essentials,82,0,Yes,Active,40.9,1892,351,No,No,7,13,231.1,3,1,Debit Card,Yes,5,417.3,Yes,No,No,0.46,2,46.7,0.69,-34,289
66,Female,Dublin,Individual,Postpay,Freedom,87,24,No,Active,49.0,2887,399,No,Yes,21,0,181.6,0,2,Credit Card,Yes,4,385.5,No,Yes,No,0.36,3,58.7,0.5,21,720
69,Female,Galway,Individual,Postpay,Essentials,58,12,Yes,Active,13.4,2215,479,Yes,Yes,8,13,297.2,3,4,Direct Debit,Yes,3,406.96,Yes,No,Yes,0.05,0,23.2,0.71,58,360
49,Female,Dublin,Individual,Prepay,Freedom,11,24,Yes,Active,62.9,565,108,Yes,No,2,12,80.3,1,5,Debit Card,Yes,2,259.2,Yes,No,No,0.31,3,47.0,0.76,0,720
21,Female,Dublin,Business,Prepay,Essentials,57,24,Yes,Cancelled,32.4,1282,484,Yes,Yes,21,12,19.6,2,2,Debit Card,Yes,5,455.77,Yes,Yes,No,0.07,3,19.8,0.8,-89,720
47,Female,Dublin,Individual,Postpay,Freedom,23,12,No,Active,20.2,1462,375,Yes,Yes,20,14,10.6,2,2,Credit Card,Yes,5,162.98,No,Yes,No,0.23,2,50.0,0.83,82,360
54,Female,Other,Family,Prepay,Essentials,68,0,No,Active,56.7,1134,355,No,No,15,16,213.5,1,1,Debit Card,Yes,2,78.34,Yes,Yes,No,0.15,4,50.6,0.85,0,187
40,Male,Galway,Business,SIM-only,Essentials,67,12,No,Active,55.6,743,148,No,Yes,14,11,249.2,3,5,Credit Card,Yes,2,354.37,Yes,No,No,0.24,4,10.2,0.41,-97,360
56,Female,Dublin,Business,Postpay,Unlimited,67,24,Yes,Active,12.2,672,366,No,Yes,23,13,190.9,1,2,Credit Card,Yes,3,269.68,No,No,Yes,0.12,1,48.2,0.89,20,720
62,Female,Dublin,Business,SIM-only,Essentials,60,12,Yes,Active,71.3,2911,203,Yes,No,3,11,271.6,4,3,Debit Card,Yes,1,427.29,No,No,Yes,0.49,4,24.7,0.72,-59,360
32,Male,Dublin,Individual,Prepay,Unlimited,93,12,Yes,Active,64.3,2886,306,No,No,19,17,209.7,3,2,Direct Debit,Yes,0,40.58,No,No,Yes,0.42,2,13.3,0.84,81,360
60,Female,Galway,Business,SIM-only,Freedom,11,1,No,Active,23.0,530,20,Yes,Yes,28,3,111.9,1,3,Credit Card,Yes,1,421.85,No,No,Yes,0.33,3,36.5,0.99,-79,30
46,Female,Galway,Family,Postpay,Essentials,50,24,Yes,Cancelled,49.6,1313,59,No,Yes,15,13,55.2,4,4,Credit Card,No,1,146.65,No,No,Yes,0.3,0,33.1,0.12,-100,720
53,Female,Dublin,Individual,Prepay,Unlimited,92,12,Yes,Cancelled,73.4,561,434,No,Yes,9,18,277.5,4,3,Debit Card,Yes,4,327.43,No,No,No,0.06,0,55.9,0.37,-53,360
30,Male,Dublin,Individual,Prepay,Essentials,91,24,No,Active,55.3,1533,20,Yes,No,10,12,32.0,3,3,Direct Debit,Yes,0,20.06,No,No,No,0.17,4,7.0,0.81,-58,720
49,Male,Dublin,Family,Prepay,Unlimited,25,0,Yes,Active,42.6,2222,362,No,No,25,17,163.4,0,1,Credit Card,Yes,2,304.79,Yes,No,No,0.47,1,57.1,0.09,1,86
24,Other,Galway,Individual,Postpay,Essentials,13,1,Yes,Active,35.6,301,381,No,Yes,28,10,94.9,0,2,Direct Debit,Yes,1,358.64,No,No,No,0.48,0,8.5,0.54,47,30
68,Female,Galway,Individual,Postpay,Unlimited,21,1,Yes,Active,63.0,184,244,Yes,Yes,4,5,82.2,4,4,Direct Debit,Yes,3,184.38,Yes,No,No,0.3,1,15.7,0.86,-83,30
39,Male,Dublin,Individual,Prepay,Essentials,38,12,Yes,Active,94.2,509,389,Yes,Yes,10,8,194.1,0,2,Credit Card,Yes,1,107.71,Yes,Yes,Yes,0.14,0,37.6,0.02,97,360
45,Female,Dublin,Individual,Postpay,Freedom,16,0,No,Active,68.8,2866,72,No,Yes,28,11,70.1,4,3,Credit Card,Yes,2,268.82,No,No,No,0.17,1,33.9,0.94,76,76
19,Female,Dublin,Individual,Prepay,Freedom,23,0,Yes,Active,12.1,1333,448,Yes,No,12,18,275.0,0,3,Debit Card,Yes,1,416.6,No,No,No,0.27,1,71.2,0.98,-25,251
59,Female,Other,Family,Postpay,Unlimited,21,24,Yes,Active,48.8,1369,75,No,Yes,14,13,122.4,4,2,Direct Debit,Yes,5,161.77,No,No,Yes,0.11,3,42.9,0.32,44,720
62,Female,Dublin,Individual,Prepay,Unlimited,14,0,Yes,Active,89.6,2203,185,No,Yes,5,14,203.5,4,4,Debit Card,Yes,4,126.23,No,No,No,0.04,2,24.2,0.77,80,137
23,Male,Galway,Individual,Postpay,Unlimited,90,24,Yes,Active,14.0,2834,77,Yes,Yes,15,10,218.6,4,4,Credit Card,Yes,4,139.47,No,Yes,Yes,0.4,0,64.9,0.13,49,720
45,Male,Galway,Individual,Postpay,Unlimited,41,1,Yes,Active,98.9,794,389,Yes,Yes,14,5,205.2,4,1,Credit Card,Yes,1,474.57,No,No,Yes,0.7,4,23.2,0.77,-19,30
45,Male,Dublin,Individual,Postpay,Essentials,83,24,Yes,Active,95.2,2479,64,No,Yes,10,13,271.1,2,3,Credit Card,Yes,4,179.64,No,No,Yes,0.51,2,20.4,0.48,-91,720
61,Female,Dublin,Business,Prepay,Essentials,52,12,Yes,Cancelled,12.4,1523,341,No,Yes,19,2,70.1,0,3,Debit Card,Yes,3,1.8,No,No,No,0.14,3,36.1,0.86,-77,360
61,Male,Dublin,Individual,Prepay,Essentials,90,24,Yes,Active,93.7,760,289,No,No,1,18,26.7,4,1,Credit Card,Yes,0,390.84,Yes,No,No,0.56,3,65.8,0.21,39,720
37,Male,Galway,Individual,Postpay,Freedom,78,24,Yes,Active,39.5,2194,55,No,No,27,19,17.6,1,2,Debit Card,Yes,1,349.64,Yes,No,No,0.08,3,51.3,0.67,-97,720
47,Male,Galway,Individual,Prepay,Freedom,54,0,Yes,Active,85.2,2528,330,No,No,27,10,263.5,3,3,Credit Card,Yes,3,64.28,No,No,No,0.38,4,49.1,0.79,69,329
28,Female,Galway,Individual,Prepay,Freedom,18,0,No,Active,44.7,434,258,Yes,Yes,29,16,292.0,1,2,Credit Card,Yes,5,492.45,Yes,No,Yes,0.28,0,52.6,0.2,25,209
45,Female,Cork,Family,Prepay,Essentials,58,1,No,Active,46.9,1542,425,No,No,1,16,91.5,1,4,Credit Card,Yes,3,304.03,Yes,No,No,0.13,0,47.8,0.82,32,30
42,Male,Dublin,Family,Postpay,Freedom,42,12,No,Active,65.3,2038,189,No,No,11,2,208.4,2,5,Credit Card,Yes,3,250.39,Yes,No,No,0.23,1,54.9,0.96,53,360
56,Male,Other,Individual,Postpay,Essentials,27,24,Yes,Cancelled,78.6,1706,5,No,Yes,15,13,3.7,0,1,Direct Debit,Yes,5,191.11,Yes,Yes,Yes,0.05,1,14.7,0.62,86,720
50,Female,Galway,Individual,Postpay,Freedom,18,1,Yes,Active,8.2,68,5,No,Yes,18,6,57.4,2,3,Credit Card,Yes,2,449.34,No,No,No,0.22,1,13.6,0.78,89,30
18,Male,Dublin,Individual,Prepay,Freedom,71,12,Yes,Cancelled,61.3,1629,190,No,Yes,1,18,207.1,0,1,Debit Card,Yes,1,121.98,No,No,Yes,0.24,4,26.7,0.53,-21,360
44,Male,Other,Individual,Prepay,Freedom,66,0,Yes,Active,22.7,1904,147,No,Yes,16,2,20.7,4,4,Credit Card,Yes,1,142.88,No,No,Yes,0.21,2,61.4,0.6,-96,206
69,Male,Galway,Individual,Postpay,Freedom,38,24,Yes,Active,37.9,2922,404,No,No,13,1,141.1,2,4,Credit Card,Yes,1,61.21,No,No,No,0.03,0,51.7,0.01,53,720
30,Male,Cork,Individual,Postpay,Freedom,87,24,Yes,Active,38.1,2233,257,No,Yes,23,16,199.1,3,4,Credit Card,Yes,0,379.56,No,No,No,0.11,1,41.2,0.52,-18,720
58,Male,Galway,Individual,Prepay,Essentials,34,1,No,Active,49.6,2951,217,Yes,Yes,27,8,230.0,0,4,Credit Card,No,3,297.77,No,Yes,No,0.25,4,2.4,0.58,-95,30
20,Female,Other,Individual,Postpay,Freedom,24,1,Yes,Active,36.7,2729,478,Yes,Yes,15,5,136.7,2,5,Credit Card,Yes,1,304.53,No,No,No,0.79,4,17.7,0.67,51,30
56,Male,Galway,Business,Prepay,Essentials,15,0,Yes,Active,15.2,2251,89,No,Yes,4,8,189.5,3,2,Direct Debit,Yes,4,109.24,No,No,No,0.17,1,58.0,0.17,80,209
23,Female,Dublin,Business,SIM-only,Freedom,51,12,No,Active,18.8,553,311,Yes,Yes,9,4,162.3,1,2,Credit Card,Yes,2,325.58,Yes,Yes,No,0.54,3,18.2,0.24,-94,360
25,Male,Dublin,Individual,Prepay,Freedom,38,12,Yes,Active,8.2,2060,351,No,Yes,16,1,16.6,4,5,Credit Card,Yes,5,382.73,Yes,No,No,0.56,3,52.9,0.76,-91,360
44,Female,Other,Family,SIM-only,Essentials,88,0,No,Active,49.7,2713,9,No,Yes,12,14,223.1,4,2,Direct Debit,Yes,5,178.94,No,No,No,0.29,3,14.1,0.17,66,66
26,Female,Dublin,Individual,Postpay,Essentials,13,1,No,Active,95.7,1297,86,Yes,No,15,8,52.5,1,4,Credit Card,Yes,0,400.67,No,No,No,0.06,1,44.1,0.42,-23,30
54,Male,Dublin,Individual,Postpay,Unlimited,91,1,No,Cancelled,16.0,2098,249,No,No,8,18,10.5,2,2,Debit Card,Yes,5,174.4,No,No,No,0.41,4,45.6,0.25,55,30
50,Female,Cork,Family,Prepay,Unlimited,66,12,Yes,Active,94.9,499,325,No,No,23,9,135.9,1,1,Credit Card,Yes,2,379.07,No,No,No,0.15,4,54.4,0.55,-59,360
68,Male,Cork,Business,Postpay,Freedom,58,12,Yes,Active,74.7,2416,150,No,No,3,3,259.8,3,2,Credit Card,Yes,3,16.87,Yes,Yes,No,0.2,0,32.1,0.99,-39,360
59,Other,Galway,Business,Postpay,Essentials,53,0,Yes,Active,65.6,2771,475,No,No,23,9,46.1,0,1,Debit Card,Yes,5,275.58,Yes,No,No,0.63,3,45.9,0.85,24,92
61,Male,Other,Individual,Prepay,Essentials,89,12,Yes,Active,66.3,2404,112,No,No,28,7,4.8,2,3,Direct Debit,Yes,5,484.76,No,No,No,0.17,1,35.6,0.27,79,360
41,Male,Dublin,Individual,Postpay,Freedom,84,12,Yes,Active,83.5,2894,29,No,No,27,12,33.9,0,1,Credit Card,Yes,4,490.62,Yes,No,Yes,0.43,0,68.3,0.37,-79,360
32,Male,Dublin,Family,SIM-only,Unlimited,23,1,Yes,Active,15.2,1529,127,Yes,No,28,6,109.7,1,1,Credit Card,Yes,3,140.88,No,No,No,0.21,4,38.1,0.92,-44,30
49,Other,Dublin,Individual,Postpay,Essentials,12,0,Yes,Active,53.0,2303,77,No,Yes,25,6,174.5,4,4,Credit Card,Yes,1,220.7,No,No,No,0.31,0,15.9,0.9,-5,297
49,Female,Other,Individual,Postpay,Freedom,71,12,Yes,Active,71.2,1511,420,No,Yes,15,3,58.7,0,4,Credit Card,Yes,2,31.49,No,No,No,0.37,3,48.4,0.16,38,360
41,Female,Galway,Individual,Prepay,Essentials,73,24,No,Active,60.7,278,54,Yes,No,22,14,240.8,0,4,Direct Debit,Yes,5,436.67,Yes,No,No,0.04,2,39.9,0.83,41,720
58,Male,Dublin,Individual,Postpay,Unlimited,54,1,No,Active,84.1,1082,479,No,Yes,26,11,226.2,4,1,Credit Card,Yes,4,284.29,No,Yes,Yes,0.52,3,58.1,0.3,-70,30
69,Female,Other,Individual,Prepay,Freedom,91,1,Yes,Cancelled,11.9,445,304,No,Yes,10,15,209.1,0,5,Direct Debit,Yes,2,192.55,No,Yes,No,0.19,3,13.6,0.54,-97,30
66,Male,Other,Individual,Postpay,Freedom,67,0,Yes,Active,70.6,2160,33,No,Yes,6,5,146.8,0,4,Credit Card,Yes,0,56.39,No,No,Yes,0.09,1,19.5,0.01,8,302
66,Female,Other,Business,SIM-only,Freedom,29,12,No,Cancelled,55.7,835,104,No,Yes,16,8,110.2,4,4,Direct Debit,Yes,4,473.38,No,No,No,0.22,2,66.4,1.0,49,360
69,Male,Other,Individual,Postpay,Freedom,67,0,Yes,Active,41.0,754,171,No,No,21,2,113.3,4,1,Debit Card,Yes,0,265.11,No,No,No,0.37,2,67.0,0.76,17,319
29,Male,Dublin,Individual,Prepay,Essentials,98,1,No,Active,37.3,1845,498,No,Yes,12,7,151.4,1,3,Direct Debit,Yes,5,141.46,Yes,Yes,No,0.32,2,32.4,0.24,-8,30
56,Male,Galway,Individual,Prepay,Essentials,66,12,No,Cancelled,64.0,1592,21,No,Yes,3,6,24.1,1,3,Credit Card,Yes,4,175.11,No,No,No,0.23,4,4.4,0.68,-2,360
19,Male,Cork,Individual,Postpay,Unlimited,86,12,Yes,Cancelled,89.6,1512,286,No,Yes,13,3,205.0,0,2,Debit Card,Yes,1,135.35,No,No,No,0.32,0,22.8,0.29,91,360
20,Female,Other,Individual,Postpay,Unlimited,77,1,No,Active,52.1,1430,390,No,No,9,12,106.1,2,3,Debit Card,No,2,300.9,Yes,No,Yes,0.22,4,18.5,0.09,-24,30
66,Male,Galway,Individual,Postpay,Unlimited,87,1,Yes,Active,83.3,2414,104,No,Yes,9,18,68.2,1,4,Debit Card,No,2,464.98,Yes,No,Yes,0.32,2,30.4,0.43,-18,30
54,Female,Galway,Family,Postpay,Freedom,61,12,Yes,Active,43.2,1083,148,No,No,9,6,84.2,1,5,Direct Debit,Yes,3,428.35,Yes,Yes,No,0.08,1,23.6,0.61,14,360
66,Male,Galway,Individual,Postpay,Unlimited,46,0,Yes,Active,14.7,2376,271,Yes,No,26,9,54.9,2,2,Debit Card,Yes,4,230.19,No,No,Yes,0.27,3,59.9,0.09,-40,331
34,Female,Dublin,Business,Prepay,Essentials,17,0,Yes,Active,10.8,2775,275,Yes,Yes,11,11,270.6,2,5,Direct Debit,Yes,4,413.25,No,Yes,Yes,0.68,3,1.2,0.52,-1,299
66,Male,Cork,Individual,Prepay,Freedom,53,24,No,Active,9.9,1590,298,No,Yes,1,2,51.5,4,5,Credit Card,Yes,0,211.55,Yes,No,No,0.15,4,46.8,0.51,33,720
19,Male,Other,Individual,Prepay,Freedom,14,0,Yes,Cancelled,41.1,1908,171,Yes,Yes,25,11,265.0,1,4,Debit Card,Yes,4,126.15,No,No,No,0.51,4,48.2,0.63,-22,298
19,Female,Other,Individual,Prepay,Freedom,78,12,Yes,Active,37.0,2767,46,Yes,No,22,18,172.1,3,1,Direct Debit,Yes,2,491.71,No,No,No,0.52,1,47.9,0.24,95,360
45,Male,Dublin,Individual,Postpay,Freedom,40,24,Yes,Active,73.2,2231,113,Yes,No,8,14,260.4,3,1,Credit Card,Yes,4,151.94,Yes,No,Yes,0.38,3,38.0,0.02,-95,720
40,Male,Dublin,Family,Postpay,Essentials,54,1,No,Active,75.6,1022,274,No,Yes,28,7,142.7,0,1,Credit Card,No,3,161.86,Yes,No,Yes,0.48,4,44.4,0.32,-35,30
54,Female,Dublin,Individual,Postpay,Freedom,18,1,No,Active,9.8,2358,303,Yes,Yes,4,11,278.4,1,3,Direct Debit,Yes,3,494.85,Yes,No,No,0.5,0,58.5,0.4,63,30
49,Female,Galway,Individual,Prepay,Unlimited,41,12,No,Active,26.0,1561,479,No,Yes,7,19,64.2,3,1,Credit Card,Yes,2,66.96,No,No,No,0.71,4,56.7,0.64,42,360
50,Male,Other,Family,Prepay,Freedom,42,24,Yes,Active,31.1,176,206,No,No,20,5,166.9,1,4,Credit Card,No,2,380.27,Yes,No,No,0.29,4,3.5,0.93,-25,720
18,Male,Dublin,Business,Prepay,Essentials,76,24,Yes,Active,57.0,846,452,No,Yes,13,9,38.6,1,3,Credit Card,Yes,2,467.91,No,No,Yes,0.05,2,3.2,0.2,-61,720
36,Female,Cork,Family,Prepay,Essentials,39,12,Yes,Cancelled,18.7,1248,394,No,Yes,6,1,134.7,3,1,Direct Debit,No,4,255.9,No,Yes,Yes,0.16,0,60.6,0.69,68,360
19,Male,Other,Individual,Postpay,Essentials,85,0,Yes,Active,17.7,1600,462,Yes,Yes,6,12,171.4,1,5,Direct Debit,Yes,4,1.26,No,No,Yes,0.1,0,41.8,0.1,-94,334
61,Male,Galway,Family,Prepay,Essentials,38,12,Yes,Active,94.7,1604,412,No,No,8,6,182.1,2,4,Direct Debit,No,1,187.53,Yes,No,No,0.22,1,69.0,0.19,-79,360
43,Male,Cork,Individual,Postpay,Freedom,12,1,Yes,Active,81.4,1975,241,No,No,2,7,110.3,0,4,Debit Card,Yes,5,55.78,No,Yes,Yes,0.22,2,31.6,0.51,-29,30
49,Female,Cork,Individual,Prepay,Freedom,99,1,Yes,Cancelled,22.2,2056,300,No,Yes,13,15,23.8,4,2,Debit Card,Yes,5,208.09,No,No,No,0.48,0,13.5,0.71,5,30
23,Female,Cork,Individual,Postpay,Freedom,66,0,No,Active,43.6,235,195,Yes,No,16,10,196.9,3,4,Credit Card,Yes,0,395.01,Yes,No,Yes,0.37,2,34.6,0.86,38,275
49,Male,Dublin,Individual,Postpay,Freedom,39,0,Yes,Active,38.8,709,496,No,Yes,17,3,147.0,4,5,Credit Card,No,4,219.36,Yes,No,No,0.12,2,32.0,0.74,29,207
21,Male,Cork,Individual,Prepay,Unlimited,18,12,Yes,Active,80.1,2971,163,No,No,11,16,41.9,0,4,Credit Card,Yes,1,215.96,No,No,Yes,0.16,3,37.7,0.02,-71,360
28,Male,Galway,Individual,Postpay,Essentials,35,1,Yes,Active,53.5,2732,175,No,Yes,21,15,280.8,2,2,Credit Card,Yes,1,278.39,No,No,No,0.07,0,58.4,0.68,-33,30
34,Female,Other,Family,Postpay,Freedom,11,1,No,Active,17.1,793,342,No,No,13,18,286.7,2,4,Direct Debit,Yes,3,290.85,Yes,Yes,Yes,0.24,3,47.5,0.82,80,30
55,Male,Galway,Individual,SIM-only,Unlimited,71,1,No,Active,75.2,2855,270,No,Yes,25,10,257.1,2,4,Direct Debit,No,4,428.15,No,No,No,0.25,4,14.2,0.53,-12,30
41,Male,Galway,Individual,Prepay,Essentials,12,24,No,Cancelled,42.7,1934,109,No,Yes,25,6,253.3,2,2,Debit Card,Yes,1,154.18,No,No,No,0.18,4,53.1,0.97,48,720
22,Female,Dublin,Individual,Postpay,Essentials,55,12,Yes,Active,30.0,1669,171,No,No,27,12,30.5,3,4,Direct Debit,Yes,3,410.84,No,No,Yes,0.44,3,43.0,0.0,52,360
69,Male,Cork,Business,SIM-only,Unlimited,77,1,No,Active,40.7,26,450,Yes,Yes,12,18,298.0,3,3,Direct Debit,Yes,0,282.97,Yes,No,No,0.25,4,42.1,0.82,-28,30
51,Female,Dublin,Individual,SIM-only,Freedom,34,0,Yes,Active,52.3,2597,351,No,Yes,13,16,120.7,1,4,Debit Card,Yes,3,150.26,No,No,No,0.06,3,49.2,0.33,-29,96
23,Male,Dublin,Individual,Postpay,Freedom,60,1,Yes,Active,37.6,1226,201,No,Yes,8,12,49.8,1,1,Credit Card,Yes,0,147.56,Yes,Yes,No,0.22,1,41.0,0.65,32,30
39,Male,Galway,Family,Postpay,Essentials,22,24,No,Active,28.0,84,167,No,Yes,18,11,243.8,0,1,Credit Card,Yes,5,180.57,No,No,No,0.61,2,33.5,0.69,-35,720
28,Male,Other,Family,Postpay,Freedom,53,12,Yes,Active,42.9,1855,101,Yes,Yes,25,6,68.5,1,3,Debit Card,Yes,5,311.35,No,No,No,0.49,1,46.5,0.31,-16,360
65,Female,Dublin,Individual,Postpay,Freedom,44,12,Yes,Active,6.8,2513,85,Yes,Yes,1,0,158.3,0,4,Credit Card,Yes,2,115.41,Yes,Yes,Yes,0.2,0,52.4,1.0,-52,360
33,Female,Cork,Individual,Postpay,Essentials,64,12,Yes,Active,78.4,1122,141,No,No,10,0,39.3,0,5,Credit Card,No,2,460.17,No,No,Yes,0.08,1,17.0,0.1,-93,360
50,Female,Other,Family,Postpay,Freedom,96,1,Yes,Cancelled,21.2,1213,446,No,No,16,19,142.9,0,4,Direct Debit,Yes,3,287.46,Yes,No,No,0.27,1,36.3,0.16,54,30
26,Male,Dublin,Individual,Postpay,Essentials,18,24,No,Active,9.2,11,336,No,Yes,1,13,167.9,2,1,Credit Card,Yes,2,460.01,No,No,No,0.42,4,33.5,0.89,-99,720
23,Female,Cork,Individual,Postpay,Freedom,11,12,Yes,Active,67.1,1012,212,No,Yes,18,14,134.3,4,2,Credit Card,Yes,4,23.2,Yes,Yes,Yes,0.45,3,3.8,0.12,-73,360
33,Male,Galway,Family,Postpay,Essentials,70,0,Yes,Active,78.5,1748,50,Yes,No,6,10,21.8,4,3,Debit Card,Yes,3,171.31,No,Yes,No,0.33,0,60.2,0.38,38,306
46,Male,Galway,Individual,Prepay,Essentials,50,0,Yes,Active,82.3,1876,111,No,Yes,17,8,146.0,3,2,Debit Card,No,1,11.4,Yes,No,Yes,0.22,4,27.8,0.73,-55,237
20,Female,Dublin,Individual,Postpay,Essentials,53,12,Yes,Active,51.9,2619,462,No,Yes,12,16,141.2,0,5,Credit Card,Yes,4,136.13,No,No,No,0.22,0,6.2,0.79,25,360
37,Male,Dublin,Individual,Postpay,Essentials,73,24,Yes,Active,24.5,1317,441,No,No,4,3,79.2,2,4,Credit Card,Yes,3,431.0,No,Yes,No,0.37,2,33.5,0.95,-80,720
53,Male,Galway,Individual,Postpay,Unlimited,40,1,Yes,Cancelled,75.0,1383,270,No,No,17,19,276.6,1,5,Direct Debit,Yes,5,18.3,No,No,No,0.24,3,12.5,0.79,69,30
